"beg_date","count(*)"
"1992-02-01","4087"
"1992-03-01","4455"
"1992-04-01","4856"
"1992-05-01","4791"
"1992-06-01","5177"
"1992-07-01","4810"
"1992-08-01","4620"
"1992-09-01","4454"
"1992-10-01","4751"
"1992-11-01","4057"
"1992-12-01","3718"
"1993-01-01","5525"
"1993-02-01","4114"
"1993-03-01","5290"
"1993-04-01","5439"
"1993-05-01","4690"
"1993-06-01","5724"
"1993-07-01","12514"
"1993-08-01","5924"
"1993-09-01","5812"
"1993-10-01","6458"
"1993-11-01","5502"
"1993-12-01","4324"
"1994-01-01","6547"
"1994-02-01","5346"
"1994-03-01","6372"
"1994-04-01","5658"
"1994-05-01","6139"
"1994-06-01","6620"
"1994-07-01","5858"
"1994-08-01","7273"
"1994-09-01","6260"
"1994-10-01","6145"
"1994-11-01","5419"
"1994-12-01","4818"
"1995-01-01","8054"
"1995-02-01","6053"
"1995-03-01","6620"
"1995-04-01","5602"
"1995-05-01","6305"
"1995-06-01","5487"
"1995-07-01","5540"
"1995-08-01","6436"
"1995-09-01","5712"
"1995-10-01","6380"
"1995-11-01","5932"
"1995-12-01","4412"
"1996-01-01","7479"
"1996-02-01","6487"
"1996-03-01","7803"
"1996-04-01","6350"
"1996-05-01","6207"
"1996-06-01","6148"
"1996-07-01","6885"
"1996-08-01","6891"
"1996-09-01","6699"
"1996-10-01","7145"
"1996-11-01","6448"
"1996-12-01","5044"
"1997-01-01","8948"
"1997-02-01","6594"
"1997-03-01","6080"
"1997-04-01","6569"
"1997-05-01","6459"
"1997-06-01","6752"
"1997-07-01","7358"
"1997-08-01","7214"
"1997-09-01","8945"
"1997-10-01","8810"
"1997-11-01","8096"
"1997-12-01","6173"
"1998-01-01","9855"
"1998-02-01","7599"
"1998-03-01","10560"
"1998-04-01","8596"
"1998-05-01","9702"
"1998-06-01","10959"
"1998-07-01","10129"
"1998-08-01","8921"
"1998-09-01","8579"
"1998-10-01","8226"
"1998-11-01","6965"
"1998-12-01","7695"
"1999-01-01","10262"
"1999-02-01","8047"
"1999-03-01","9972"
"1999-04-01","8253"
"1999-05-01","10045"
"1999-06-01","9050"
"1999-07-01","11263"
"1999-08-01","6550"
"1999-09-01","9021"
"1999-10-01","11430"
"1999-11-01","8932"
"1999-12-01","7727"
"2000-01-01","10386"
"2000-02-01","10220"
"2000-03-01","10793"
"2000-04-01","9572"
"2000-05-01","11153"
"2000-06-01","10707"
"2000-07-01","10674"
"2000-08-01","13162"
"2000-09-01","13155"
"2000-10-01","16494"
"2000-11-01","11495"
"2000-12-01","10984"
"2001-01-01","14276"
"2001-02-01","10692"
"2001-03-01","12003"
"2001-04-01","10937"
"2001-05-01","13614"
"2001-06-01","9900"
"2001-07-01","9985"
"2001-08-01","10653"
"2001-09-01","8005"
"2001-10-01","10514"
"2001-11-01","9426"
"2001-12-01","7910"
"2002-01-01","13078"
"2002-02-01","9435"
"2002-03-01","10589"
"2002-04-01","13131"
"2002-05-01","9374"
"2002-06-01","9419"
"2002-07-01","10370"
"2002-08-01","9663"
"2002-09-01","9832"
"2002-10-01","12350"
"2002-11-01","8939"
"2002-12-01","6941"
"2003-01-01","13041"
"2003-02-01","9296"
"2003-03-01","9978"
"2003-04-01","9010"
"2003-05-01","9769"
"2003-06-01","9213"
"2003-07-01","15899"
"2003-08-01","9832"
"2003-09-01","10456"
"2003-10-01","11610"
"2003-11-01","9075"
"2003-12-01","8634"
"2004-01-01","15260"
"2004-02-01","10032"
"2004-03-01","11909"
"2004-04-01","11982"
"2004-05-01","11227"
"2004-06-01","12317"
"2004-07-01","11568"
"2004-08-01","11813"
"2004-09-01","12123"
"2004-10-01","12928"
"2004-11-01","9740"
"2004-12-01","7549"
"2005-01-01","15611"
"2005-02-01","10548"
"2005-03-01","11805"
"2005-04-01","11607"
"2005-05-01","11830"
"2005-06-01","13797"
"2005-07-01","17526"
"2005-08-01","14259"
"2005-09-01","13963"
"2005-10-01","16007"
"2005-11-01","12121"
"2005-12-01","11101"
"2006-01-01","14640"
"2006-02-01","11188"
"2006-03-01","11248"
"2006-04-01","10271"
"2006-05-01","11186"
"2006-06-01","12090"
"2006-07-01","11509"
"2006-08-01","13888"
"2006-09-01","13673"
"2006-10-01","12398"
"2006-11-01","11696"
"2006-12-01","9756"
"2007-01-01","13742"
"2007-02-01","11856"
"2007-03-01","13032"
"2007-04-01","21647"
"2007-05-01","17613"
"2007-06-01","12535"
"2007-07-01","13490"
"2007-08-01","14273"
"2007-09-01","13674"
"2007-10-01","14586"
"2007-11-01","11852"
"2007-12-01","9524"
"2008-01-01","24777"
"2008-02-01","12409"
"2008-03-01","11707"
"2008-04-01","12038"
"2008-05-01","12155"
"2008-06-01","11714"
"2008-07-01","11636"
"2008-08-01","13092"
"2008-09-01","16628"
"2008-10-01","16469"
"2008-11-01","8875"
"2008-12-01","8287"
"2009-01-01","11227"
"2009-02-01","9452"
